2013 rank,2022 rank,2023 rank,Country,iso3c,safety and security,personal freedom,governance,social capital,investment environment,enterprise conditions,infrastructure market access,economic quality,living conditions,health,education,natural environment
4,1,1,Denmark,DNK,6,2,3,1,8,8,9,7,2,16,5,5
1,3,2,Sweden,SWE,10,4,7,4,6,15,7,8,3,9,8,1
2,2,3,Norway,NOR,3,1,2,3,9,14,20,5,4,7,10,9
5,4,4,Finland,FIN,15,3,1,7,2,12,10,20,7,15,2,2
3,5,5,Switzerland,CHE,2,12,4,12,12,1,11,2,5,10,4,6
6,6,6,Netherlands,NLD,9,5,5,8,3,9,3,10,1,11,6,39
8,7,7,Luxembourg,LUX,1,6,8,18,20,4,6,6,6,12,36,10
14,9,8,Iceland,ISL,8,7,10,5,19,20,19,21,10,8,11,13
9,8,9,Germany,DEU,19,9,9,20,21,6,5,11,8,13,19,12
7,10,10,New Zealand,NZL,32,11,6,2,7,21,23,22,30,25,18,11
15,11,11,Ireland,IRL,11,8,13,16,14,16,24,4,19,23,12,17
10,12,12,United Kingdom,GBR,21,17,15,15,10,10,12,15,9,34,14,22
13,14,13,Canada,CAN,18,14,12,10,13,13,15,32,13,32,17,20
11,13,14,Austria,AUT,12,15,14,14,16,19,14,25,21,22,22,7
12,15,15,Australia,AUS,20,20,11,6,22,24,28,23,15,21,7,19
19,16,16,Japan,JPN,5,27,17,141,5,5,8,28,17,2,13,15
18,17,17,Singapore,SGP,7,107,18,21,4,11,1,1,14,1,1,87
20,20,18,Belgium,BEL,30,10,16,23,11,25,17,27,18,18,15,35
17,22,19,United States,USA,69,29,23,9,17,3,4,16,29,69,20,28
22,19,20,"Taiwan, China",TWN,4,26,20,44,23,7,34,12,31,4,16,73
23,21,21,Estonia,EST,28,13,19,34,28,23,32,14,22,37,21,8
16,18,22,Hong Kong,HKG,16,98,28,68,1,2,2,3,27,14,9,30
21,23,23,France,FRA,38,28,21,43,18,18,16,30,20,20,28,14
24,24,24,Spain,ESP,24,21,27,11,24,27,13,52,11,26,30,34
28,27,25,Czechia,CZE,13,22,32,36,26,42,40,17,24,28,31,27
29,28,26,Portugal,PRT,29,16,24,29,29,31,18,46,23,40,39,32
25,25,27,Slovenia,SVN,14,35,37,30,30,33,29,35,28,24,25,4
27,26,28,Malta,MLT,17,24,29,13,38,30,38,18,16,19,38,104
26,29,29,South Korea,KOR,37,42,30,107,25,37,21,9,26,3,3,63
30,30,30,Italy,ITA,27,31,39,41,31,28,25,54,25,17,32,31
36,32,31,Latvia,LVA,31,23,31,79,39,36,41,33,39,59,27,3
38,33,32,Lithuania,LTU,25,25,26,129,33,34,42,31,38,61,24,16
32,31,33,Israel,ISR,124,49,22,83,15,17,33,19,12,6,26,96
31,34,34,Cyprus,CYP,43,32,35,69,37,32,35,42,32,29,34,38
35,35,35,Slovakia,SVK,22,30,40,39,34,59,45,37,35,45,48,24
33,38,36,Chile,CHL,77,33,34,48,36,35,27,39,40,51,44,44
34,36,37,Poland,POL,26,55,48,27,42,45,39,36,33,48,37,43
37,37,38,Uruguay,URY,46,18,25,17,40,70,62,60,44,35,53,52
39,39,39,Costa Rica,CRI,48,19,33,25,52,46,56,59,58,30,50,23
42,41,40,Greece,GRC,34,40,43,101,69,49,26,86,34,41,33,29
44,40,41,Croatia,HRV,33,36,52,103,51,88,30,47,36,53,43,26
40,43,42,Hungary,HUN,35,76,92,47,45,96,44,29,37,46,41,36
46,42,43,Malaysia,MYS,73,113,50,63,27,29,37,34,64,42,46,46
43,44,44,United Arab Emirates,ARE,50,146,38,78,32,22,22,26,47,33,42,119
50,45,45,Romania,ROU,36,39,51,116,44,80,49,44,54,72,54,45
45,47,46,Qatar,QAT,23,149,47,51,43,26,36,13,48,38,60,134
41,46,47,Mauritius,MUS,42,52,36,37,41,54,53,72,60,81,62,120
49,48,48,Bulgaria,BGR,58,51,61,81,53,52,52,43,51,65,47,64
52,49,49,Montenegro,MNE,41,48,55,49,72,40,58,69,50,103,51,100
47,50,50,Panama,PAN,49,54,66,45,59,84,46,50,79,57,93,25
48,51,51,Seychelles,SYC,52,71,44,53,67,61,61,90,63,39,68,54
66,52,52,Serbia,SRB,44,75,96,38,78,82,66,61,41,80,45,131
64,53,53,Georgia,GEO,82,59,53,104,47,58,55,78,78,90,49,128
67,58,54,China,CHN,86,162,74,31,64,38,43,24,46,5,56,139
57,55,55,North Macedonia,MKD,55,60,73,77,49,72,73,73,52,74,88,92
51,54,56,Trinidad and Tobago,TTO,84,41,60,75,79,98,75,70,55,64,69,107
61,57,57,Jamaica,JAM,120,37,56,87,62,51,74,91,71,67,76,112
58,56,58,Argentina,ARG,80,34,67,26,87,129,85,118,56,60,58,49
60,60,59,Peru,PER,89,57,77,90,73,69,83,62,99,52,71,33
53,64,60,Kuwait,KWT,51,119,87,99,63,76,64,51,42,43,75,137
76,59,61,Armenia,ARM,75,70,64,125,75,44,71,83,76,68,59,99
55,63,62,Bahrain,BHR,95,156,98,55,35,60,31,56,45,50,63,142
71,61,63,Indonesia,IDN,78,95,57,42,65,53,65,58,98,87,89,77
56,62,64,Thailand,THA,117,118,114,28,46,64,51,40,69,31,72,111
65,66,65,Albania,ALB,57,73,75,128,76,73,63,101,80,66,57,57
54,65,66,Brazil,BRA,119,67,86,35,77,120,87,81,57,83,91,18
59,68,67,Oman,OMN,40,142,83,88,58,48,48,63,67,55,83,153
75,69,68,Dominican Republic,DOM,108,46,90,50,81,79,69,66,88,89,99,55
84,67,69,Kazakhstan,KAZ,81,126,99,108,74,83,91,38,53,77,35,126
86,71,70,Moldova,MDA,67,66,79,72,84,114,92,93,62,93,52,115
63,70,71,Mexico,MEX,148,80,101,61,66,81,47,49,86,71,77,60
77,73,72,Bosnia and Herzegovina,BIH,47,69,122,80,83,116,80,75,49,95,84,135
95,76,73,Vietnam,VNM,83,139,80,19,105,89,59,48,92,44,67,114
94,81,74,Ukraine,UKR,131,68,91,59,124,78,76,77,74,101,40,88
69,79,75,South Africa,ZAF,136,38,49,40,48,63,68,74,102,129,102,140
70,75,76,Paraguay,PRY,64,74,103,32,89,119,89,84,82,88,103,37
87,74,77,Russia,RUS,139,140,111,54,85,97,60,41,68,84,23,76
83,72,78,Belarus,BLR,72,143,136,134,103,117,79,45,43,62,29,42
90,82,79,Saudi Arabia,SAU,98,163,82,105,56,43,54,55,75,56,64,138
78,78,80,Cabo Verde,CPV,39,43,42,94,109,99,118,127,100,73,101,80
72,77,81,Colombia,COL,156,82,88,62,61,93,70,85,89,36,80,40
62,80,82,Suriname,SUR,63,47,81,95,120,115,93,108,72,123,97,21
74,84,83,Botswana,BWA,70,56,41,118,60,68,95,57,114,131,100,143
81,86,84,Philippines,PHL,146,83,93,22,82,71,78,53,109,96,86,71
93,83,85,Ecuador,ECU,88,64,105,66,100,118,81,114,97,82,82,51
73,85,86,Jordan,JOR,74,116,68,152,50,41,67,121,61,100,90,146
89,88,87,São Tomé and Príncipe,STP,45,45,62,97,88,75,122,82,112,94,110,91
92,87,88,Mongolia,MNG,61,58,70,57,111,111,113,80,107,110,61,148
91,90,89,Guyana,GUY,96,61,71,96,101,113,109,64,85,120,96,47
80,91,90,Namibia,NAM,65,53,46,92,80,55,100,133,122,125,109,98
96,89,91,Sri Lanka,LKA,134,96,78,71,90,74,97,128,104,47,70,58
104,92,92,Azerbaijan,AZE,111,144,113,132,54,47,72,65,65,85,79,149
85,93,93,Belize,BLZ,90,44,97,117,113,110,98,123,91,91,104,53
105,94,94,Kyrgyzstan,KGZ,71,103,108,100,99,124,110,88,84,76,85,95
68,95,95,Turkey,TUR,147,152,128,137,68,65,50,71,59,63,74,86
100,97,96,Morocco,MAR,62,114,89,162,55,90,57,95,95,86,122,132
82,96,97,El Salvador,SLV,125,88,102,85,92,94,77,107,90,98,108,121
101,98,98,Ghana,GHA,79,50,58,114,98,50,114,134,115,119,118,106
79,99,99,Tunisia,TUN,122,86,63,156,95,105,94,111,73,79,95,147
111,104,100,Uzbekistan,UZB,53,147,123,46,107,121,104,79,103,49,73,162
97,101,101,Guatemala,GTM,116,91,125,91,93,85,86,76,113,104,124,81
113,103,102,Senegal,SEN,104,62,59,65,102,56,116,122,117,117,148,75
107,100,103,India,IND,138,112,54,124,70,39,84,89,125,112,106,161
98,102,104,Cuba,CUB,103,155,131,33,116,159,105,131,77,27,55,83
103,105,105,Honduras,HND,129,94,141,56,91,100,88,100,111,99,117,65
99,106,106,Bolivia,BOL,99,79,127,74,112,154,111,139,101,113,94,48
106,108,107,Turkmenistan,TKM,66,161,156,24,121,153,121,67,66,54,66,159
112,112,108,Kenya,KEN,144,92,84,67,71,66,108,98,131,114,113,122
115,109,109,Algeria,DZA,60,128,107,155,131,138,99,132,70,70,92,144
128,111,110,Nepal,NPL,94,84,72,73,117,112,130,102,123,118,119,133
108,110,111,Rwanda,RWA,126,115,45,139,57,57,115,87,147,116,133,109
88,107,112,Lebanon,LBN,128,100,143,165,104,104,101,161,106,108,128,160
114,113,113,Tajikistan,TJK,76,145,129,52,122,135,125,109,105,75,81,150
102,114,114,Nicaragua,NIC,109,124,153,70,125,146,103,116,110,78,120,67
117,115,115,Laos,LAO,56,157,119,136,145,101,90,97,120,111,111,72
120,116,116,The Gambia,GMB,92,102,65,64,108,67,135,150,129,139,142,82
125,118,117,Tanzania,TZA,105,111,85,133,119,103,131,96,137,128,130,70
116,117,118,Cambodia,KHM,100,137,157,140,126,133,96,68,127,92,127,78
118,120,119,Gabon,GAB,106,108,139,110,141,148,126,113,108,140,107,90
147,121,120,Côte d’Ivoire,CIV,118,93,100,144,115,107,123,92,128,151,138,89
119,124,121,Egypt,EGY,142,160,140,161,86,62,82,136,93,107,105,156
124,122,122,Djibouti,DJI,85,130,115,142,97,109,112,104,118,126,132,154
132,119,123,Benin,BEN,68,78,69,159,130,77,137,110,143,147,139,123
129,123,124,Bangladesh,BGD,141,125,133,112,133,91,106,103,121,106,126,151
121,126,125,Malawi,MWI,102,72,76,153,114,95,141,147,155,121,145,66
123,125,126,Iran,IRN,130,165,146,122,129,162,102,138,81,58,78,158
110,127,127,Zambia,ZMB,101,109,106,113,110,87,143,162,150,137,134,59
130,128,128,Comoros,COM,59,97,150,82,139,137,145,155,134,130,135,74
133,129,129,Uganda,UGA,135,121,124,109,94,86,127,117,140,133,137,113
122,130,130,Papua New Guinea,PNG,113,63,112,89,142,132,144,126,158,149,141,62
127,131,131,Equatorial Guinea,GNQ,91,151,152,93,118,150,129,94,116,156,129,56
136,135,132,Lesotho,LSO,97,77,95,130,132,136,133,137,142,164,123,165
151,136,133,Togo,TGO,93,105,126,145,135,122,148,140,141,142,131,127
138,132,134,Eswatini,SWZ,114,150,134,148,106,123,120,106,126,161,125,145
134,134,135,Burkina Faso,BFA,143,65,94,120,134,126,152,125,152,132,161,85
150,138,136,Pakistan,PAK,149,120,118,123,96,102,124,129,119,124,140,166
144,137,137,Madagascar,MDG,121,81,120,111,136,127,140,143,164,145,146,79
135,139,138,Liberia,LBR,112,89,109,98,146,106,163,149,145,160,159,61
148,141,139,Zimbabwe,ZWE,110,134,147,135,156,147,132,145,139,141,98,110
142,142,140,Iraq,IRQ,163,133,135,138,127,144,107,105,87,115,121,167
153,140,141,Guinea,GIN,123,110,130,102,128,92,136,154,151,159,156,68
143,143,142,Nigeria,NGA,153,106,132,84,123,125,138,146,132,157,136,129
149,133,143,Myanmar,MMR,154,164,142,58,159,145,117,142,130,109,114,84
140,145,144,Sierra Leone,SLE,107,85,104,86,152,141,158,157,156,162,151,105
109,144,145,Venezuela,VEN,151,136,167,60,167,167,119,166,96,97,87,41
126,150,146,Libya,LBY,162,129,160,115,157,161,128,99,94,105,112,157
137,151,147,Cameroon,CMR,155,127,148,127,137,128,134,112,135,152,115,118
141,148,148,Congo,COG,133,131,151,149,138,151,147,151,133,146,116,94
154,147,149,Guinea-Bissau,GNB,54,99,138,121,158,142,155,153,154,155,162,69
139,146,150,Mozambique,MOZ,132,101,121,126,140,143,146,158,157,150,160,50
131,152,151,Mali,MLI,158,87,117,131,148,134,142,119,136,144,163,97
146,153,152,Niger,NER,140,90,110,76,147,131,164,124,160,143,167,117
156,149,153,Ethiopia,ETH,150,138,116,106,155,130,160,115,146,122,149,108
152,154,154,Mauritania,MRT,87,123,154,119,161,166,154,135,124,138,154,164
155,155,155,Angola,AGO,115,122,137,154,162,163,150,120,144,158,152,124
157,156,156,Haiti,HTI,127,104,158,150,164,164,151,144,149,148,143,141
159,157,157,Burundi,BDI,152,154,144,146,151,108,157,163,165,134,150,101
158,158,158,Sudan,SDN,159,153,145,164,149,155,139,167,138,127,144,163
145,159,159,Syria,SYR,164,167,165,167,143,165,149,148,106,108,128,160
164,160,160,Eritrea,ERI,137,166,163,158,144,152,161,156,162,135,153,130
162,161,161,Dem. Rep. of Congo,COD,161,,117,159,151,166,158,162,159,163,154,147,102
165,164,162,Chad,TCD,145,132,162,147,163,157,167,141,161,165,166,103
167,163,163,Somalia,SOM,160,141,161,143,153,140,165,165,159,163,158,136
161,162,164,Afghanistan,AFG,166,148,149,166,154,139,159,152,153,153,157,155
163,166,165,Central African Republic,CAF,157,135,155,160,160,149,166,130,167,167,165,93
160,165,166,Yemen,YEM,165,159,166,157,165,160,156,164,148,136,155,152
166,167,167,South Sudan,SSD,167,,158,164,163,150,156,153,160,166,166,164,125
